Player,Pos,3P,TRB,BLK
Andre Drummond,C,0.0,13.8,1.1
Jordan Clarkson,SG,1.4,3.0,0.1
Robin Lopez,C,0.0,6.4,1.4
Nicolas Batum,SG,1.8,6.2,0.4
Salah Mejri,C,0.0,4.2,0.8
Roy Hibbert,C,0.0,3.2,1.0
Chris Andersen,C,0.0,2.6,0.6
Karl-Anthony Towns,C,1.2,12.3,1.3
Jodie Meeks,SG,1.6,2.1,0.1
Tristan Thompson,C,0.0,9.2,1.1
Nikola Jokic,C,0.6,9.8,0.8
Dwyane Wade,SG,0.8,4.5,0.7
Tarik Black,C,0.0,5.1,0.7
Sean Kilpatrick,SG,1.5,4.0,0.1
Wesley Matthews,SG,2.4,3.5,0.2
Joe Harris,SG,1.6,2.8,0.2
Frank Kaminsky,C,1.5,4.5,0.5
J.J. Redick,SG,2.6,2.2,0.2
Alex Abrines,SG,1.4,1.3,0.1
Tim Hardaway,SG,1.9,2.8,0.2
E'Twaun Moore,SG,1.1,2.1,0.4
Dewayne Dedmon,C,0.0,6.5,0.8
Myles Turner,C,0.5,7.3,2.1
Eric Gordon,SG,3.3,2.7,0.5
Troy Daniels,SG,2.1,1.5,0.1
Patrick Beverley,SG,1.6,5.9,0.4
Buddy Hield,SG,1.8,3.3,0.1
Wayne Ellington,SG,2.4,2.1,0.1
Willie Reed,C,0.0,4.7,0.7
Rudy Gobert,C,0.0,12.8,2.6
Allen Crabbe,SG,1.7,2.9,0.3
Jordan Crawford,SG,1.9,1.8,0.1
Richaun Holmes,C,0.5,5.5,1.0
Tony Snell,SG,1.8,3.1,0.2
Klay Thompson,SG,3.4,3.7,0.5
DeMarcus Cousins,C,1.8,11.0,1.3
Alex Len,C,0.0,6.6,1.3
Jason Smith,C,0.5,3.5,0.7
J.R. Smith,SG,2.3,2.8,0.3
Devin Booker,SG,1.9,3.2,0.3
Courtney Lee,SG,1.4,3.4,0.3
DeAndre Jordan,C,0.0,13.8,1.7
Nik Stauskas,SG,1.7,2.8,0.4
Andrew Bogut,C,0.0,8.1,0.9
Nene Hilario,C,0.0,4.2,0.6
JaVale McGee,C,0.0,3.2,0.9
Denzel Valentine,SG,1.3,2.6,0.1
A.J. Hammons,C,0.2,1.6,0.6
Justin Holiday,SG,1.2,2.7,0.4
Josh Richardson,SG,1.4,3.2,0.7
Ian Mahinmi,C,0.0,4.8,0.8
Brook Lopez,C,1.8,5.4,1.7
Austin Rivers,SG,1.5,2.2,0.1
Victor Oladipo,SG,1.9,4.3,0.3
Manu Ginobili,SG,1.3,2.3,0.2
Timofey Mozgov,C,0.0,4.9,0.6
Willie Cauley-Stein,C,0.0,4.5,0.6
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Dwight Howard,C,0.0,12.7,1.2
Kyle Korver,SG,2.4,2.8,0.3
Marcin Gortat,C,0.0,10.4,0.7
Joel Embiid,C,1.2,7.8,2.5
Jamal Crawford,SG,1.4,1.6,0.2
Kosta Koufos,C,0.0,5.7,0.7
Edy Tavares,C,0.0,5.5,3.0
Anthony Davis,C,0.5,11.8,2.2
Hassan Whiteside,C,0.0,14.1,2.1
Marco Belinelli,SG,1.4,2.4,0.1
Marreese Speights,C,1.3,4.5,0.5
Rodney Hood,SG,1.9,3.4,0.2
Montrezl Harrell,C,0.0,3.8,0.7
Garrett Temple,SG,1.3,2.8,0.4
Gary Harris,SG,1.9,3.1,0.1
Jonas Valanciunas,C,0.0,9.5,0.8
Nikola Vucevic,C,0.3,10.4,1.0
C.J. McCollum,SG,2.3,3.6,0.5
Justin Hamilton,C,0.9,4.1,0.7
Danny Green,SG,1.7,3.3,0.8
Lou Williams,SG,2.0,2.5,0.2
Will Barton,SG,1.5,4.3,0.5
